rtfd b'5c2623574800'
get_led b'5c2623574100'
setLed_white_blue_defaultPwm b'5c26235741040704ffff'
setLed_off_blue_defaultPwm b'5c26235741040004ffff'
setLed_RED_BLUE_defaultPwm b'5c26235741040102ffff'
setLed_GREEN_RED_defaultPwm b'5c26235741040201ffff'
setLed_blue_amber_defaultPwm b'5c26235741040403ffff'
setLed_white_blue_maxPwm_invalid b'5c262357410407040aaa'
setLed_white_blue_maxPwm b'5c262357410407040556'
setLed_white_blue_minPwm b'5c262357410407040111'
setBuzz_gON_cardON b'5c262357420103'
setBuzz_gOFF_cardON b'5c262357420101'
setBuzz_gON_cardOFF b'5c262357420102'
setBuzz_gOFF_cardOFF b'5c262357420100'
get_buzzer b'5c2623574200'
get_tech b'5c2623574300'
setTech-0 b'5c262357430100'
setTech-1 b'5c262357430101'
setTech-2 b'5c262357430102'
setTech-3 b'5c262357430103'
setTech-4 b'5c262357430104'
setTech-5 b'5c262357430105'
setTech-6 b'5c262357430106'
setTech-7 b'5c262357430107'
setTech-15 b'5c26235743010f'
get_credentials b'5c2623574400'
setCred_EV1_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440401000000'
setCred_MFC_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440402000000'
setCred_ICLASS_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440404000000'
setCred_SMARTMAX_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440408000000'
setCred_BLE_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440410000000'
setCred_NFC_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440420000000'
setCred_LEAF_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440440000000'
setCred_ECP_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440480000000'
setCred_NONE_1443CSN_AS_IS_15693CSN_AS_IS   b'5c262357440400000000'
setCred_ALL-Current_1443CSN_AS_IS_15693CSN_AS_IS   b'5c2623574404ff000000'
setCred_ALL-FUTURE_1443CSN_56_BIT_15693CSN_56_BIT   b'5c2623574404ffff0d0d'
setCred_ALL-Current_1443CSN_5002_15693CSN_5002   b'5c2623574404ff000303'
setCred_ALL-Current_1443CSN_40_BIT_MSB_LRC_15693CSN_40_BIT_PCSC   b'5c2623574404ff00080e'
setCred_ALL-Current_1443CSN_26_BIT_15693CSN_26_BIT   b'5c2623574404ff000505'
setCred_ALL-Current_1443CSN_5002_CL2_15693CSN_5002_CL2    b'5c2623574404ff001010'
setCred_ALL-Current_1443CSN_5002_CL2_15693CSN_AS_IS   b'5c2623574404ff001000'
setCred_ALL-Current_1443CSN_AS_IS_15693CSN_5002_CL2    b'5c2623574404ff000010'
getMobile b'5c2623574500'
setMobile_NONE_KEYSALL_FF b'5c2623574506000300000000'
setMobile_NONE_KEYSALL_00 b'5c2623574506000300000000'
setMobile_FEA_TRANSPORT_KEYSALL_FF b'5c2623574506010300000000'
